﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
spotify:track:6s3GEN8wK0OMzzzZbXj0fu,Hymn For The Weekend,"Coldplay, Seeb",Hymn For The Weekend (Seeb Remix),1,1,212647,spotify:user:1299858245,2016-08-11T01:28:34Z
spotify:track:2x2SotEkKozaFh6H1aVnOZ,Who We Are,Imagine Dragons,Smoke + Mirrors (Deluxe),1,21,249346,spotify:user:1299858245,2016-09-20T19:00:08Z
spotify:track:7azVJ6AgvPLOum1tppactO,UFO,Vigiland,UFO,1,1,144389,spotify:user:1299858245,2015-05-03T20:09:11Z
spotify:track:3GT6eLQhtvmFu30StsjB1L,Best I Ever Had,Gavin DeGraw,Best I Ever Had,1,1,226053,spotify:user:1299858245,2013-10-07T02:35:32Z
spotify:track:3LlAyCYU26dvFZBDUIMb7a,Demons,Imagine Dragons,Night Visions,1,4,175200,spotify:user:1299858245,2013-10-07T02:35:32Z
spotify:track:1HqnP9CrNRj9tKQHphQNmf,A Little Piece of Heaven,Avenged Sevenfold,Avenged Sevenfold,1,9,480720,spotify:user:1299858245,2013-10-07T02:40:15Z
spotify:track:5PUvinSo4MNqW7vmomGRS7,Blurred Lines,"Robin Thicke, T.I., Pharrell Williams",Blurred Lines,1,1,263053,spotify:user:1299858245,2013-10-07T02:43:44Z
spotify:track:4gFSz8ilK4FnZTgOc4koI1,Grenade - Acoustic,Bruno Mars,Grenade,1,3,249535,spotify:user:1299858245,2013-10-07T02:48:34Z
spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie,"Shakira, Wyclef Jean",Oral Fixation Vol. 2,1,3,218093,spotify:user:1299858245,2013-10-07T22:56:52Z
spotify:track:5ybUdN3DmQL8T3eqg4XjmQ,"This Ain't A Scene, It's An Arms Race",Fall Out Boy,Believers Never Die - Greatest Hits,1,7,213280,spotify:user:1299858245,2013-10-17T04:06:39Z
spotify:track:09TcIuH1ZO7i4vicWKoaN2,Papaoutai,Stromae,racine carrée,1,2,232146,spotify:user:1299858245,2013-10-17T04:12:17Z
spotify:track:7fFlkS4JijAyCEm0cnp1My,Beethoven Virus,SJ,Spatial Jaguar,1,1,107190,spotify:user:1299858245,2013-10-20T09:17:48Z
spotify:track:1wAXODAAL6hY64ZdhrnjBO,Drive By,Train,Drive By,1,1,196626,spotify:user:1299858245,2013-11-24T19:11:45Z
spotify:track:2PBOI7vYicqDaG9rYbycUO,Not Fair,Lily Allen,"It's Not Me, It's You",1,3,201146,spotify:user:1299858245,2013-11-27T19:36:50Z
spotify:track:36482hNESSwELpr9sS3NbE,A Little Party Never Killed Nobody,"Fergie, Q-Tip, GoonRock",Music From Baz Luhrmann's Film The Great Gatsby (International Streaming Version),1,3,241306,spotify:user:1299858245,2013-11-27T20:57:40Z
spotify:track:0Ti2dlF2xLjXblvdU5fCxM,Miss Murder,AFI,DECEMBERUNDERGROUND,1,3,206586,spotify:user:1299858245,2013-12-19T01:45:04Z
spotify:track:4qNpejqjyHjwXaXi0KOPxw,Silver Scrapes,Danny McCarthy,Silver Scrapes (As Featured In League of Legends Season 2 World Championship),1,1,116049,spotify:user:1299858245,2014-02-10T06:04:17Z
spotify:track:6DHswEnDubt3PTh9semV3M,Let Me Hit It33,"Sporty-O, Audiostalkers",Let Me Hit It,1,1,289000,spotify:user:1299858245,2014-02-10T06:20:15Z
spotify:track:1uNZxaFuPpnzRAV1Lm7yO8,Plants Vs. Zombies Theme,Anime Kei,Plants Vs. Zombies,1,1,190952,spotify:user:1299858245,2014-02-13T08:08:31Z
spotify:track:0It6VJoMAare1zdV2wxqZq,Undisclosed Desires,Muse,The Resistance,1,3,235000,spotify:user:1299858245,2014-02-14T00:58:39Z
spotify:track:1IRZwD3r9VOehOR8rGeV3Y,Island In The Sun,Weezer,Smallville: The Talon Mix,1,3,200666,spotify:user:1299858245,2014-02-14T01:04:01Z
spotify:track:3UOlYczxtt70Xj1VplXgj8,All Your Light (Times Like These),Portugal. The Man,In The Mountain In The Cloud,1,8,266093,spotify:user:1299858245,2014-02-14T01:04:08Z
spotify:track:4VqPOruhp5EdPBeR92t6lQ,Uprising,Muse,The Resistance,1,1,304840,spotify:user:1299858245,2014-02-14T01:05:01Z
spotify:track:4xr1Azj8mCbz6u8CITf8ef,One - Original Mix,Swedish House Mafia,One (Your Name) [feat. Pharrell],1,4,351453,spotify:user:1299858245,2014-02-14T01:14:42Z
spotify:track:1CsinaFRmDfFTTP8xsf59W,Rasputin,Turisas,Rasputin (single),1,1,233520,spotify:user:1299858245,2014-03-11T04:58:09Z
spotify:track:2p9q7lIzhJygg323PqeMbD,Once Again,Tristam,Monstercat 016 - Expedition,1,1,219748,spotify:user:1299858245,2014-03-14T04:41:18Z
spotify:track:2Ac0Uo6ABVXSJN15t3gGqr,Primavera,Ludovico Einaudi,Divenire,1,6,443733,spotify:user:1299858245,2014-03-20T23:03:35Z
spotify:track:0zkiQH567SDLqfWNBaU3hv,#SELFIE,The Chainsmokers,#SELFIE,1,1,183750,spotify:user:1299858245,2014-03-22T01:48:59Z
spotify:track:3s4U7OHV7gnj42VV72eSZ6,Rather Be,"Clean Bandit, Jess Glynne",Rather Be (feat. Jess Glynne),1,1,227833,spotify:user:1299858245,2014-03-30T19:14:38Z
spotify:track:4Uc6BcPeBKfZUlX6jhumGv,Can't Remember to Forget You,"Shakira, Rihanna",Shakira. (Deluxe Version),1,2,206866,spotify:user:1299858245,2014-04-16T02:08:13Z
spotify:track:6JMZJUyjquUbx3X7tRqMLt,Dragons,Caravan Palace,Caravan Palace,1,1,244819,spotify:user:1299858245,2014-05-04T07:31:27Z
spotify:track:6IDDwI0YOCAUDhMZltQekS,Love Don't Die,The Fray,Helios,1,2,183093,spotify:user:1299858245,2014-05-16T05:20:57Z
spotify:track:5nSkWEU7XKqU9EiskvVSlo,Empire,Shakira,Empire,1,1,239346,spotify:user:1299858245,2014-05-20T00:36:02Z
spotify:track:5UM4eoahsyDfwzUHV9ftqc,Clash,Caravan Palace,Panic,1,6,253080,spotify:user:1299858245,2014-06-06T03:01:48Z
spotify:track:2x4UdnjXPMMwjZtDTqpEjT,Traum,Cro,Melodie,1,4,195548,spotify:user:1299858245,2014-07-01T18:01:54Z
spotify:track:6zlOUIqcU6juXFww9UNpJK,Five Hours,Deorro,Five Hours,1,1,326887,spotify:user:1299858245,2014-07-16T03:25:39Z
spotify:track:57ef886Y0RQDGLm2jvmYEq,Stolen Dance,Milky Chance,Sadnecessary,1,11,313684,spotify:user:1299858245,2014-07-16T03:32:14Z
spotify:track:1huvTbEYtgltjQRXzrNKGi,Don't,Ed Sheeran,x (Deluxe Edition),1,4,219840,spotify:user:1299858245,2014-07-31T22:30:31Z
spotify:track:2FiceoWDJ67rrmb5tGBpgE,Ghost,Ella Henderson,Ghost,1,1,216106,spotify:user:1299858245,2014-08-03T22:20:34Z
spotify:track:2rJojRundKuKFgbvmCAYva,Me And My Broken Heart,Rixton,Me And My Broken Heart,1,1,193826,spotify:user:1299858245,2014-08-08T06:54:10Z
spotify:track:5BJSZocnCeSNeYMj3iVqM7,Love Runs Out,OneRepublic,Native,1,2,224226,spotify:user:1299858245,2014-08-12T21:31:39Z
spotify:track:7J4gq1xNP3IsG6lDk0eSa7,Take Me to Church,Hozier,Take Me to Church EP,1,1,241586,spotify:user:1299858245,2014-08-17T04:27:58Z
spotify:track:6ggAYREO7PlFwI2vbOG3dp,She Moves,"Alle Farben, Graham Candy",Synesthesia,1,4,197346,spotify:user:1299858245,2014-08-17T05:33:09Z
spotify:track:6chdRBWviHlm7JAtwgflBP,Maps,Maroon 5,Maps,1,1,189840,spotify:user:1299858245,2014-08-19T18:22:32Z
spotify:track:2wqaekenSQZm7hxQOYt8oE,Am I Wrong,Nico & Vinz,Am I Wrong,1,1,247520,spotify:user:1299858245,2014-08-24T04:35:33Z
